rsi,trend,label,fvg_type,pair,price_momentum,volatility_ratio,rsi_fast,rsi_slow,pivot_high,pivot_low,hour,day_of_week,volume_ratio
32.13309791108905,,0,bearish,COINBASE_BTC-USD_daily,-0.025939445995275867,0,39.52515800208783,33.38581853238118,0,0,0,2,1.20266766248111
34.75219949995079,bullish,0,bearish,COINBASE_BTC-USD_daily,-0.023145143845987426,0,38.637382513460274,33.01676701517917,0,0,0,3,0.9569527159620105
34.28494539938926,,0,bearish,COINBASE_BTC-USD_daily,0.010208978665852353,0,46.60332250688721,37.16857846419561,1,0,0,4,1.0899725071006134
39.28950379799134,,0,bearish,COINBASE_BTC-USD_daily,0.09211024815305935,0,45.477331489788895,36.777286875414596,0,0,0,5,0.5339142571583804
38.76970168571937,,0,bearish,COINBASE_BTC-USD_daily,0.02529835069056441,0,43.87228695870599,36.25712419369623,0,0,0,6,0.5962413196543543
38.06579822937937,,0,bearish,COINBASE_BTC-USD_daily,0.017371368105462803,0,46.3355167689774,37.2951990550888,0,1,0,0,0.8312216914419733
39.386943528233644,bearish,0,bearish,COINBASE_BTC-USD_daily,0.010717449069973295,0,42.305957770766206,36.145402512973924,1,0,0,1,1.009593635243454
37.772716715269276,,0,bearish,COINBASE_BTC-USD_daily,-0.006823580220254866,0,46.08935834892602,37.54386241512322,0,0,0,2,0.8652096774895556
39.616182384152296,,0,bearish,COINBASE_BTC-USD_daily,-0.014570053336802502,0,41.191193690385475,36.248278962011774,0,0,0,3,0.7742899614756312
37.744535822921286,,0,bearish,COINBASE_BTC-USD_daily,0.008718775883865826,0,50.527494765801215,39.58043094977499,0,0,0,4,0.8069919120503253
42.219108601422,,0,bearish,COINBASE_BTC-USD_daily,0.02279523293607788,0,59.001502390049986,43.06722408326147,0,0,0,5,0.6404482007701116
46.813245268184374,bullish,0,bearish,COINBASE_BTC-USD_daily,0.057269301551134744,0,66.62400962709566,46.75455619936753,0,0,0,6,0.6073313793677976
51.5540670257977,bullish,0,bearish,COINBASE_BTC-USD_daily,0.049310779666912996,0,66.65140960719215,46.7682683590714,0,0,0,0,0.5870529926846023
51.57167584897642,,0,bearish,COINBASE_BTC-USD_daily,0.07432343234323424,0,70.63156573857722,48.72996898495493,1,0,0,1,1.0244945896423234
54.113242492202055,,0,bearish,COINBASE_BTC-USD_daily,0.03180777043087435,0,55.82645130377072,45.38518643302812,0,0,0,2,0.8524739329613481
48.85437163308867,,0,bearish,COINBASE_BTC-USD_daily,0.010635142578704349,0,55.24991007302389,45.24603724621517,0,0,0,3,0.7381971969982569
48.63716108075535,bearish,0,bearish,COINBASE_BTC-USD_daily,-0.0016163123212731278,0,60.21071748662508,47.01121690789405,0,0,0,4,0.75020348331268
51.061864961799564,,0,bearish,COINBASE_BTC-USD_daily,-0.019932866437362695,0,48.59226886956231,44.24250309651008,0,0,0,5,0.6967734186179316
46.67499860525152,,0,bearish,COINBASE_BTC-USD_daily,-0.05455885967068075,0,37.65050001012459,40.97176196081854,0,0,0,6,0.686558843454354
41.695073434907926,bearish,0,bearish,COINBASE_BTC-USD_daily,-0.03241884816753926,0,38.19363231473401,41.12463632023303,0,0,0,0,1.19099386873669
41.91831121101165,bearish,0,bearish,COINBASE_BTC-USD_daily,-0.033204762703337276,0,37.37399960515426,40.884722404839046,0,0,0,1,1.0830904131955215
41.54862434380255,,0,bearish,COINBASE_BTC-USD_daily,-0.04636778746367798,0,35.48861665538641,40.36011972001197,0,1,0,2,1.1669411449983598
40.72781658544053,,0,bearish,COINBASE_BTC-USD_daily,-0.013361522198731435,0,48.15075781406709,43.51773219739616,1,0,0,3,1.1618935796703984
45.535857012208005,,0,bearish,COINBASE_BTC-USD_daily,0.012823845420674163,0,49.558588071182854,43.8978657663871,0,0,0,4,0.7224073755961893
46.109654066449174,,0,bearish,COINBASE_BTC-USD_daily,0.008094887667200679,0,46.54282483469421,43.27238485468744,0,0,0,5,0.5613315894503942
45.063849710857355,,0,bearish,COINBASE_BTC-USD_daily,0.007111882046834328,0,44.30603363745183,42.81685983954424,0,0,0,6,0.588773435835339
44.29448826564573,,0,bearish,COINBASE_BTC-USD_daily,-0.010534105253993786,0,30.94205881703357,39.457281269582566,0,0,0,0,1.22452194114977
38.79935461878391,bearish,0,bearish,COINBASE_BTC-USD_daily,-0.00882831919088023,0,46.190408640453626,43.2240364077388,0,1,0,1,1.4177265801321999
44.74412768907638,bearish,0,bearish,COINBASE_BTC-USD_daily,-0.015056891094191172,0,43.323033390252895,42.51052503013151,0,0,0,2,1.015159568016249
43.57303455728519,,0,bearish,COINBASE_BTC-USD_daily,0.010262796289934872,0,58.19441648040552,47.02084605437686,0,0,0,3,1.4699207703560084
50.435058425133256,bullish,0,bearish,COINBASE_BTC-USD_daily,0.01571650017223547,0,59.72033507474677,47.55548726204516,1,0,0,4,0.9657110899324366
51.22554876660524,bullish,0,bearish,COINBASE_BTC-USD_daily,0.03246667546522364,0,55.17297036018032,46.599790250197984,0,0,0,5,0.6562406029755072
49.57746043035274,,0,bearish,COINBASE_BTC-USD_daily,0.009944655828433069,0,50.98353032338615,45.70763713765341,0,1,0,6,0.5266643525571395
48.03787404669254,bearish,0,bearish,COINBASE_BTC-USD_daily,0.042256579518805015,0,67.57263918903377,51.35467724326227,0,0,0,0,1.2957855621514849
56.44873239924108,,0,bearish,COINBASE_BTC-USD_daily,0.006885705784842822,0,56.73818743403326,48.778343395734346,1,0,0,1,1.1139320121547798
